id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
337849915,Marina Corina,,,Ecuador,0.8709472,-79.8524244
344295558,Kashama,https://kashama.com/,,Ecuador,-0.0812659,-79.2810079
344296277,Hamadryade Lodge,,,Ecuador,-1.0380197,-77.7089063
346391888,Hostal La Casona,,,Ecuador,-0.2196285,-78.5083167
346391928,Hotel Viena Internacional,,,Ecuador,-0.220948,-78.5098919
346392653,Hotel Auca Continental,,,Ecuador,-0.2217227,-78.5129601
346392783,Hotel Real Audiencia,,,Ecuador,-0.2230468,-78.5128704
346392983,Hotel Huasi Continental,,,Ecuador,-0.2228986,-78.5114606
346579926,Plaza Grande,https://www.plazagrandequito.com/,,Ecuador,-0.2195057,-78.5119646
348053681,Hotel San Francisco de Quito,,,Ecuador,-0.2224465,-78.5125175
355871774,ArcoIris,,,Ecuador,-0.4574211,-76.832665
370915523,Cumilinche Club,,,Ecuador,0.8182618,-80.0150654
370917335,Albemarle,https://www.hotelalbemarle.com/,,Ecuador,-0.9576984,-90.9661213
406455535,Le Parc,,Quito,Ecuador,-0.1838262,-78.4808698
412096481,Hotel Alexander,,,Ecuador,-2.1914147,-79.8892527
412096482,Hotel Sander,,,Ecuador,-2.1914663,-79.8890577
412096490,Hotel La Torre,,,Ecuador,-2.1930563,-79.8822422
424264939,Hotel Central,,,Ecuador,-0.9329792,-78.6148718
432739516,Madrid,,,Ecuador,-0.1015816,-78.4688045
441229936,La Isla,,,Ecuador,0.1092556,-79.2274121
441332433,Paraiso del pescador,,,Ecuador,0.0119097,-78.6731367
441403642,Casa Lojana,,,Ecuador,-3.9921259,-79.1980265
441403948,Sonesta Hotel Loja,https://www.sonestaloja.com/,"Loja, Ecuador",Ecuador,-3.9935009,-79.1977729
459400971,Rio Grande,,,Ecuador,0.3285555,-78.5456949
473604143,Hotel Bambu,https://www.hotelbambuecuador.com/,Canoa,Ecuador,-0.461332,-80.4572902
473604149,Hotel Sol y Luna,,,Ecuador,-0.4756494,-80.4527633
473604153,Posada del Sol,,,Ecuador,-0.474579,-80.4530363
493928873,Posada Ingapirca,,,Ecuador,-2.5396482,-78.8696996
495218145,Hotel Del Rey Guayaquil,,,Ecuador,-2.1903072,-79.8991399
528968203,Sacha Lodge,,,Ecuador,-0.4716968,-76.4588527
529490334,Casa Foch,,,Ecuador,-0.2019219,-78.4917075
529510392,Hacienda Cusin,https://haciendacusin.com/,,Ecuador,0.1912889,-78.1869536
